Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
SA,53,2,Montana,Climb,"ID BY SMITHSONIAN FAA 415. POPPED CIRCUIT BREAKER, MX REQSTD FLT TO RETURN TO CHECK FOR DMG. SPINNER ON PROP WAS DAMAGED.",Medium,Some Cloud,Y,350,6.424869024
B-737,40,2,Massachusetts,Approach,ID BY SMITHSONIAN. CAPT REPTD AT 600 FT ON APCH OVER THE BAY. HIT ABOVE COCKPIT WINDOW. SNARGE SWAB TAKEN FOR DNA ANALYSIS.,Small,No Cloud,Y,600,5.323009979
B-777,46,2,N/A,Climb,BIRD HIT F/O'S FWD WINDSCREEN WITH A LOUD BANG. REDUCED VISIBILITY. COST REPTD FOR INSPN.,Medium,No Cloud,N,5600,6.513230111
BE,45,2,Ohio,Approach,CANCELLED NUMEROUS FLTS DUE TO DAMAGE.,Medium,No Cloud,N,5,8.176391597
C,58,1,Florida,Take-off run,RAN OVER AND KILLED ARMADILLO DURING T/O RWY 7R. DEAD ARMADILLO FOUND RWY C/L NEAR T1 (REFERRED LOCATION POINT). A/C INSPECTED BY ERAU MX. NO INJURY/NO DMG TO A/C REPTD BY FLT SUPV AND ERAU MX CREW. A/C TIME OUT OF SERV - 1/5 HRS. DAYTONA BEACH/LOCAL FLT,Large,Some Cloud,Y,0,5.755742214
Airbus,51,2,California,Climb,BELIEVED TO BE WESTERN GULLS. ENG RAN ROUGH AFTER INGESTION. VIBRATION & EXCESSIVE NOISE. EMERGENCY DECLARED. 4 BENT FAN BLADES. 8 FAN BLADES REPLACED.  LANDING UNEVENTFUL.,Medium,No Cloud,N,700,11.99831635
C,57,2,Texas,Take-off run,"SMALL BIRD (SPARROW SIZED) STRUCK NOSE GEAR DOOR, TOOK OUT CHUNK OF PAINT ABOUT 2"" SQUARE.(DATA ENTRY NOTE: RWY REPTD AS 31 BUT KDTO HAS RWYS 17 & 35.",Small,No Cloud,N,0,4.65396035
F-15,57,,Florida,Climb,"After takeoff, MP saw three large birds directly in his flight path.  The MP saw two birds dive down to avoid the aircraft while the other leveled off.  The MP executed an evasive maneuver, but the third bird impacted the aircraft.  Post-flight revealed e",Large,No Cloud,Y,400,10.39900663
EMB,53,2,California,Approach,"FEATHERS & BLOOD SMEAR, NO DMG. (PART OF FORM TORN, SOME INFO MISSING). TIME OUT OF SERVICE 15 MINS,  CIST $50 FOR MX SIGN OFF.",Small,No Cloud,Y,300,4.094344562
Airbus,54,2,Ohio,Approach,HIT BOTTOM RT SIDE OF NOSE. COST FOR 1 HR INSPN.,Medium,No Cloud,N,3000,3.970291914
B-737,48,2,Oklahoma,Landing Roll,"ON L/R WE SAW TWO BIRDS APPROACHING THE A/C. ONE BIRD STRUCK L SIDE OF RADOME, OTHER BIRD MISSED A/C. ONLY EVIDENCE OF STRIKE WAS SMALL GREY POWDER LOOKING AREA ON L SIDE OF RADOME. NO DENTS, NO ABNORMAL ODORS AND NO OTHER ABNORMAL INDICATIONS.",Small,No Cloud,N,0,5.351858133
B-737,50,2,Illinois,Approach,PILOT REPTD BIRDSTRIKE WHILE OVER #'S OF RWY 4R. DENTED RADOME SEVERELY. WENT OVER A/C AND HIT VERTICAL PART OF TAIL AT THE BASE CAUSING MINIMAL DMG. A/C WAS SWAPPED OUT CAUSING A 30 MIN DELAY TO CONTINUING FLT.  CARCASS RETRIEVED BY OPS.,Medium,Some Cloud,Y,10,9.577203242
MD,43,2,Texas,Approach,NO DMG TO BASIC STRUCTURE. PROTECTIVE PAINT ERODED APPROX 3 INCH CIRCLE AT IMPACT PT. LOCATION REPTD AS 17DME NE.,Small,No Cloud,N,3400,3.912023005
C,58,2,Wisconsin,Climb,"PILOT REPTD STRIKE IMMED AFTERWARD. JUST AFTER T/O, 20-25 TURKEYS SUDDENLY APPEARED JUST ABOVE THE RWY FROM L TO RT. 3 WERE HIT, MOSTLY BY STRUT & LEADING EDGE OF WING. LDG GEAR WAS NOT RETRACTED AS A PRECAUTION BUT NO DMG TO GEAR. REPORTED COSTS  ARE PIL",Large,No Cloud,N,15,9.394826252
C,57,1,Florida,Climb,LEADING EDGE AND 2 POSSIBLY THREE RIBS DAMAGED. INCREASED BIRD ACTIVITY WAS BROADCAST ON ATIS.,Large,Overcast,Y,500,7.365812837
Aeros,51,2,Ohio,Climb,"BIRD WAS GRAY WITH 2' WINGSPAN. UPON LIFT-OFF, PILOT REPTD BIRD STRIKE & REQSTD TO RETURN FOR LDG WITH EQUIPMENT STANDING BY.  LANDED W/O INCIDENT. PILOT REPTD SOME ENG DMG.",Large,Some Cloud,N,20,12.53034939
Grumamer,49,,California,Approach,PILOT SAW 2 KILLDEER ON BASE TO FINAL AND TRIED TO AVOID BY RAISING PORT WING. 1 IMPACTED PROP SPINNER & WAS INGESTED. BORESCOPE FOUND INTERNAL DAMAGE WITH SUBSEQUENT ENG CHANGE.,Small,No Cloud,N,320,12.48193388
Citation,46,2,Mississippi,Landing Roll,"BIRD WAYON RWY, FLEW UP, STRUCK RT LEADING EDGE MIDWING. NO DMG",Small,Some Cloud,N,0,8.032684876
B-737,55,2,California,Climb,PILOT REPTD BIRD AS LRG AND WHITE. INGESTED. SLIGHT VIBRATION. ENG INDICATIONS UNCHANGED. PILOT RETARDED #2 ENG THROTTLE & VIB DIMINISHED. ATC NOTIFIED & FLT CLEARED TO LAND. LANDED W/O INCIDENT. 5 FAN BLADES REPLACED).,Large,Some Cloud,Y,600,10.06164448
Learjet,28,2,Washington,Landing Roll,"AT 1200 FT DOWN RWY, WE HIT 2 GEESE SLEEPING RT OF CENTERLINE ON RWY. IT WAS RAINING HARD AND WE DIDNT'S EE THEM UNTIL LANDING LITES ILLUMINATED THEM. HIT RT MAIN GEAR. DMG T OUT DEAR DOOR HINGE.",Large,Overcast,N,0,7.171656823
Fairchild,33,2,Arkansas,Approach,1ST STAGE IMPELLER WAS DESTROYED BY BIRD INGESTION. PIECES OF METAL AND BIRD WENT THRU THE ENG CAUSING MAJOR DMG. UNCONTAINED FAILURE. MAYBE WHITE GEESE. ASSUME SNOW GEESE FROM DATE AND LOCATION,Large,Overcast,N,800,12.04282992
B-737,59,2,Florida,Approach,NO DMG. SOME BLOOD BELOW PITOT TUBE.,Small,Some Cloud,N,100,4.605170186
BE,33,2,New Jersey,Approach,"12"" X 8"" PAINT REMOVED FROM RH FWD AREA OF NOSE RADOME.",Medium,No Cloud,Y,1200,8.857657449
CL,51,2,Virginia,Approach,"BIRD REPTD AS CORMORANT, ASSUME DOUBLE-CRESTED. PILOT REPTD STRIKING A BIRD ON APCH. NO REMAINS FOUND. HE SAW SEVERAL BIRDS. DMG TO RT WING FLAP. NO EFFECT ON FLT. PHOTOS.",Large,No Cloud,Y,200,10.87250355
B-737,37,2,Washington,Approach,"PIREP UPON T/D FOF 16R. REMAINS OF SWALLOW COLLECTED IN T/D ZONE. FORWARDED TO WS BIOL. NO DMG. REMAINS ON CO/P'S WINDSHLD REMOVED. (DATA ENTRY NOTE: COST REPTD AS $150, ASSUME THEY MEANT OTHER COST SINCE THERE WAS NO DAMAGE)",Small,Some Cloud,Y,50,5.036952602
BA,47,2,Georgia,Landing Roll,2 BIRDS. INGESTION BENT COMPRESSOR BLADES.,Medium,Some Cloud,N,0,10.59890715
C,53,2,New Jersey,Landing Roll,"ATIS WARNING. CABIN DOOR SMASHED. PILOT SAW 2 DEER. RWY WAS  WET MAKING IT HARD TO BRAKE. DEER HIT BELLY OF A/C.& EXITED BTWN THE LDG GEAR. SHE DAMAGED THE DOOR, MOST INNER PART  OF WING ROOT & DENTED SOME BELLY SKIN. NO ONE WAS HURT. RWY WAS CLOSED WHILE",Large,Overcast,Y,0,11.82267965
BE,46,2,Minnesota,Descent,"DENTED L HORIZ STABL. LE. PHOTOS INCLUDED. ALSO LOSS OF VALUE,  $169,000.",Large,No Cloud,N,3000,13.17406169
BA,41,2,Kentucky,Landing Roll,"WILL NEED TO REPLACE ENG DUE TO DMG. LOST REVENUE WAS ESTIMATED BY OPER AT 16 SEGMENTS AT $250/SEAT AT 50% LOAD= $36,000.",Small,No Cloud,N,0,11.16132335
PA,45,2,Illinois,Landing Roll,STRIKE WAS AT TOUCHDOWN. BIRD PUNCTURED WING AT STALL WARNING HORN,Large,Some Cloud,Y,0,9.879399757
BE,28,2,Connecticut,Approach,"HIT 2 GULLS DMGD RT WING LE. DENT 8-12 "" LONG AND 2-4 "" DEEP.",Medium,Overcast,Y,10,10.44074087
B-727,55,3,Texas,Climb,RADOME DENTED WELL BEYOND SERVICEABLE LIMITS. ID BY SMITHSONIAN FAA 435.,Small,Some Cloud,N,300,9.064505024
Learjet,43,2,Virginia,Take-off run,"SML DOVE-LIKE BIRD. THERE IS A BIG PROBLEM WITH BIRDS AT PHF. SEEMS TO BE NO CONCERN FROM ARPT MGR. GRASS NOT MOWED, NO AIR CANNON OR ANY OTHER PROCEDURE FOR LIMITING # OF BIRDS. WE HAVE A PROBLEM HERE. 2 BIRDSTRIKES IN 3 DAYS. #1 ENG DAMAGED. 4 FAN BLADE",Small,No Cloud,N,0,11.64614431
Airbus,59,2,Puerto Rico,Climb,DURING CLIMB AROUND 200 FT A POP WAS HEARD FOLLOWED BY A HUMMING NOISE AND VIBRATION. THREE LOWER PRESSURE FAN BLADES BENT AND DAMAGED. REPLACED BLADES.,Medium,No Cloud,N,200,9.929837328
BE,50,2,Ohio,Approach,NO DAMAGE. FLT CANCELLED. BORESCOPE INSPN. COST WAS FOR INSPN.,Small,Overcast,N,20,8.648922962
B-737,27,2,Tennessee,Approach,FOUR MILE FINAL.,Medium,No Cloud,Y,3000,5.036952602
C,48,1,California,Climb,"IMPACTED A FLOCK OF LRG BIRDS, I BELIEVED TO BE GEESE. I SAW THEM A SECOND OR TWO BEFORE IMPACT. HEARD A LOUD BANG AND FELT A SHUDDER. LEVELED OFF AND REDUCED POWER IMMED. DIVERTED TO NUT TREE ARPT. A/C HANDLED NORMALLY. VISUAL INSPN FOUND NO DEFORMATION",Large,No Cloud,N,3800,9.952277717
C,50,1,Texas,Approach,,Large,No Cloud,N,500,9.62006307
B-737,43,2,California,Approach,DMG WITHIN LIMITS TO CONTINUE IN SERVICE. FINAL REPAIR TO FLAP WILL BE DONE LATER. (I TRIED 3 TIMES TO FILL OUT THIS REPORT AND EACH TIME THE PROGRAM TIMED OUT AND I LOST ALL DATA. THE SAME TODAY TWICE AND I WAS TOLD BY MY COMPANY THAT THE FAA COMPUTER IS,Small,No Cloud,Y,100,8.596373989
C,56,1,Alaska,Climb,L WING LE WAS DAMAGED.,Large,Some Cloud,N,75,9.198166571
Citation,60,2,Indiana,Approach,DELAMINATED L FLAP. OPER - JET SERV,Medium,Some Cloud,N,10,9.978177498
B-737,54,2,Florida,Approach,STRUCK JUST BELOW F/O WINDSHIELD. WAITING ON DETAILS OF DMG. MINIMAL BY CAPT DESCRIPTION. MX HAS A/C. INSPECTION IN PROGRESS.,Small,No Cloud,Y,3000,7.62754439
CL,51,2,Florida,Landing Roll,ID BY SMITHSONIAN. FAA 4785. WHOLE FEATHER. TWO SMALL BIRDS STRUCK OUTBOARD SECTION OF RT WING DURING L/R. A/C HAD TO DELAY OUTBOUND FLT FOR INSPN BY MX.,Small,No Cloud,N,0,5.730099783
B-737,48,2,California,Take-off run,ATIS CALLED FOR BIRDS IN AREA. FLOCK OF SML BIRDS FLEW DIRECTLY IN FRONT OF A/C. DURING T/O ROLL AFTER  VI BUT BEFORE ROTATE. MULTIPLE IMPACTS HEARD ON UNDERSIDE OF NSOE AND RADOME. T/O UNEVENTFUL. NO INDICATIONS ON INSTRUMENTS OR SMELL TO INDICATE INGEST,Small,No Cloud,Y,0,4.65396035
Airbus,28,2,Florida,Climb,"ID BY SMITHSONIAN, FAA 3795.  DNA. DMG TO FAN BLADE. MULTIPLE BIRDSTRIKES ON T/O. LANDED W/O INCIDENT.",Small,Some Cloud,Y,10,11.79383214
Airbus,41,2,Massachusetts,Take-off run,"ID BY SMITHSONIAN. PILOT REPORTED SEEING 3 GULLS OFF RT SIDE OF RWY, HEARD A THUMP BUT DID NOT NOTICE ANY CHANGE.  WITNESSED STRIKE BUT ONLY THOUGHT BIRD HIT THE WING. FLT CONTD TO LAX. MX COLLECTED BIRD FROM #2 ENG AND TURNED REMAINS OVER TO WS BIOL TO R",Medium,Some Cloud,Y,0,11.02846585
Learjet,39,2,Maryland,Approach,,Large,Overcast,N,2000,6.398594935
EC,49,,Kentucky,,RETURNED TO BASE KGLW.,,No Cloud,,,7.60090246
C,46,1,Texas,Approach,APPEARED TO BE LARGE HAWK OR BUZZARD. SUBSTANTIAL DMG TO LEADING EGE OF VERTICAL FIN. SHEET METAL TORN OPEN.,Large,Some Cloud,N,3500,8.832295859
C,37,2,Indiana,Landing Roll,SML DENT ON UNDERSIDE OF L WING.,Large,No Cloud,N,0,9.680156484
C,32,1,California,Approach,"BIRD HIT FWD EDGE OF WING JUST ABOVE & RT OF COCKPIT. DENTED LE 12"" WIDE AND 3"" DEEP. ATIS WARNING.",Large,No Cloud,Y,4000,7.73280753
C,40,2,Kansas,Approach,"ID BY SMITHSONIAN, FAA 2470. PHOTOS. BIRD FLEW INTO THE LEFT TIP TANK AND BIRD PARTS STRUCK THE LEFT WING AND BOOT AND FUEL TANK VENT. THERE WAS DAMAGE. DURING APPROACH I CHECKED FOR AIRBORNE HAZARDS ON EITHER SIDE. AS I WAS TURNING MY EYES BACK TO RWY 04",Medium,No Cloud,N,100,10.28267713
B-737,47,2,California,Climb,RADOME DAMAGED OUT OF LIMITS. REMOVED AND REPLACED.,Medium,No Cloud,N,3000,9.473934649
B-737,48,2,Maryland,Approach,HIT FUSELAGE AFT OF F/O EYEBROW WINDOW.,Small,No Cloud,N,4000,5.402677382
MD,47,2,Florida,Approach,ATIS WARNING. PILOT REPTD EXTENSIVE DMG TO RADOME WHICH WAS REPLACED. A/C TAKEN OUT OF SVC.,Large,Some Cloud,Y,200,10.06164448
C,63,1,North Carolina,Descent,PROP WA DRESSED TO REDUCE NICK ON 1 BLADE,Small,No Cloud,N,3000,5.117993812
C,44,2,New York,Landing Roll,"DURING LDG ROLL, 3 DEER ENTERED THE RWY FROM LEFT SIDE AT A FAST PACE MOVING TOWARD THE CENTERLINE A FEW SECONDS LATER 1 DEER WAS STRUCK. THE NOSE GEAR COLLAPSED . A/C EXITED THE RWY. A/C WAS EVACUATED AND RWY CLOSED FOR OVER 3 HRS. RT LEADING EDGE AND UN",Large,No Cloud,Y,0,11.00209984
CL,54,2,Florida,Approach,"ID BY SMITHSONIAN, FAA 2622 A & B. SEVERAL BIRDSTRIKES (8 FOUND) ON SHORT FINAL. HAD TO SEND MX FROM ORLANDO TO INSPECT. FOUND EVIDENCE OF INGESTION IN BOTH ENGINES. BORESCOPE FOUND NO DMG. COST FOR INSPN ESTIMATED AT OR BELOW $5,000. ARFLD GRASS AREAS WE",Small,Some Cloud,N,100,8.596189198
CHALLENGER 300,47,2,Massachusetts,Approach,"ID BY SMITHSONIAN. BIRD COLLECTED BY ARPT AND SENT TO SI FOR ID. ARPT OPS REPT: ON FLARE TO RWY AT APPROX 50 FT ABOVE RWY, PILOT REPTD BIRDSTRIKE. BIRD HIT NOSE GEAR, BIRD PARTS FOUND ON RWY OVERRUN AND COLLECTED FROM WHEEL WELL OF A/C. NO APPARENT DMG. B",Small,Some Cloud,Y,50,5.298317367
B-727,41,3,Texas,Climb,DENTED WING,Small,No Cloud,N,3200,6.405228458
B-737,48,2,North Carolina,Landing Roll,"PROBABLY DOVE. ATIS REMARKS NOTED INCREASED BIRD ACTIVITY. PROBABLY DOVES/ MOURNING DOVES BASED ON SIZE AND COLOR OF BIRDS SEEN, ALONG WITH NUMBERS OBSERVED DURING TAXI IN AND OUT. ESTIMATES COSTS ARE A PERSONAL GUESS BASED ON TYPICAL MX COSTS FOR INSPN O",Small,Some Cloud,Y,0,5.575949103
B-747,42,4,California,Approach,"DMG TO RADOME, ABOUT 18"" MINOR.",Medium,No Cloud,N,1000,10.30895266
BE,47,2,Colorado,Approach,BIRD HIT OTBD FLAP CAUSING SIGNIFICANT DMG.,Large,No Cloud,N,50,9.038127549
C,61,1,Washington,Climb,"ID BY SMITHSONIAN. ON GO-AROUND (DUE TO BIRDS ON RWY) FROM LOW APRCH, FLOCK OF GULLS TOOK OFF. ONE STRUCK AND DMGD RT WING.",Medium,No Cloud,N,10,7.43838353
PA,44,2,Maryland,Approach,"BIRD HIT L WING NEAR TIP CAUSING A LRG DENT IN LE, TEARING OFF 3 VORTEX GENERTORS, DAMAGING THE DE-ICE BOOT, REMOVING ABOUT 6 SQ INCHES OF PAINT. LOCAL MECH SAID PLANE WAS AIRWORTHY.",Large,No Cloud,N,1000,8.707813551
MD,53,2,Alabama,Climb,8 FAN BLADES BENT COMBUSTION CHAMBER ALSO DAMAGED. LANDED W/O INCIDENT. DID A 1ST STAGE FAN CHANGE.,Small,Overcast,N,500,12.46112176
BA,45,2,Missouri,Approach,RWY 17 DOES NOT EXIST AT STL OR SUS.  AIRPORT MAY BE INCORRECT OR RWY INCORRECT.,Small,No Cloud,N,400,4.418840608
B-727,55,3,California,Approach,DMG TO #1 AND #2 LEADING EDGE SLAT,Medium,Overcast,Y,2000,9.524640032
BE,43,2,Texas,Descent,"BIRD SUDDENLY APPEARED IN WINDSHLD. PILOT DESCENDED TO AVOID CONTACT BUT BIRD HIT HORIZ STABILIZER WHERE IT ATTACHES TO FUSELAGE. COST ESTIMATED AT $5000 TO 10, 000. BIRD NOT RETRIEVED NOR SAMPLES TAKEN.",Large,No Cloud,Y,1750,9.534667729
Airbus,53,2,Michigan,Take-off run,PERMANENT NOTAM WARNING. FLOCK OF BIRDS CROSSED T/O PATH. HEARD THUDS AND BIRDS HEADED FOR LEFT ENG. SML DENT IN COWLING.  12 STARLING FOUND ON RWY. MULTIPLE BIRD SMEARS NO DMG TO WINGS. TME OUT OF SVC REPTD AS 1.25 HRS. (BY CAPT) AND 6.5 HRS. BY MAINTENA,Small,Overcast,Y,0,6.345636361
C,43,2,Oregon,Descent,"A/C WAS IN LEVEL FLT WHEN WE HEARD A THUD AND FELT THE A/C SHUDDER. PILOT FELT SOME FEEDBACK DURING MOMENT OF IMPACT ON THE RUDDER PEDALS WHICH SUBSIDED INSTANTLY AFTER IMPACT. VERT STABILIZER WAS DAMAGED WITH A DENT ABOUT 14' LONG, 4"" WIDE AND 1"" DEEP. B",Medium,No Cloud,N,5000,11.74796597
DA,49,2,Colorado,Descent,BIRDSTRIKE WHILE ON ARRIVAL. AFTER SUNSET WITH A FULL MOON. VFR CONDITIONS. WE WERE LEVEL AT 1100 FT AND STEADY 300KNOTS INDICATED WHIEL BEING VECTORED FOR A VISUAL APCH FOR RWY 29R. NOT OF BLACK FOREST VOR ABOUT 10 MINUTES FROM LDG. A VERY LOUD POP WAS H,Medium,No Cloud,N,4000,11.50862624
C,48,1,Florida,Climb,"ID BY SMITHSONIAN. ACCORDING TO CAPT, HE WAS ON TAKE OFF RUN WHEN THE STRIKE OCCURRED. HE WAS ABLE TO LAND AND TAXIED TO WYMAN AVIATION AT OPF. WING LEADING EDGE WAS DENTED AND REPAIRS WERE NEEDED BEFORE A/C COULD BE USED.",Large,No Cloud,Y,100,8.543640361
Airbus,35,2,New York,Approach,"MX REPTD SOME DMG TO LDG GEAR. PARTS WILL COST $300, TOTAL COST ESTIMATED AS $500-1000.",Medium,Overcast,Y,100,6.80461452
Hawker,44,2,Alabama,Take-off run,BIRD INGESTED. FAN BLADES BENT IN TURBINE,Small,No Cloud,Y,0,10.83387841
C,51,1,Hawaii,Approach,"DAMAGE TO LEADING EDGE WAS ABOUT 7"" X 5"" X 3"" AND AUSED THE LEADING EDGE SKIN TO CRACK.",Medium,No Cloud,N,300,8.778479953
B-737,50,2,Missouri,Landing Roll,BAD ODOR NOTICED. BIRD WAS STANDING ON CENTERLINE OF RWY WHEN WE LANDED. THEN BEGAN TO FLY AND WAS STRUCK BY LWR INTAKE OF #2 ENG AND INGESTED. ALL ENG INDICATIONS WRE NORMAL. INSPN FOUND NO DMG BUT NOTED INGESTION INTO THE CORE REQUIRING BORESCOPE INSPN,Small,Some Cloud,Y,0,6.907755279
B-737,38,2,Alaska,Approach,CARCASS FOUND ON RWY SHORTLY AFTER A/C LANDED. LARGE DENT TO L HORIZ STABIL. AIRSPEED IS APPROXIMATE.  A/C HAD TO BE FLOWN EMPTYBACK TO SEATTLE FOR REPAIRS. THAT COST WAS NOT AVAILABLE FROM OPER.,Medium,Overcast,Y,150,9.603530449
MD,56,2,Georgia,Approach,IN THE FLARE. A/C TIME OUT OF SERVICE = 1/2 HR.,Small,No Cloud,N,10,4.65396035
EMB,79,2,Utah,Approach,"ID BY SMITHSONIAN, FAA 4695.MICRO, WHOLE FEATHER & DNA.  A/C WAS SLOWING FROM 280 TO 190 KIAS. WHEN THE CAPT SAW WHAT HE THOUGHT WERE GULLS. THE A/C HIT A FLOCK OF LARGE BIRDS ON APPROACH ABOUT 4NM W OF ARPT. DECLARED EMERGENCY.  ONE OF THE BIRD PENETRATE",Large,Some Cloud,Y,6800,13.84187007
C,41,2,Kentucky,Climb,WS BIOL SAID BIRDS WERE PROBABLY MOURNING DOVES.  POST FLT FOUND ONE FAN BLADE BENT. REPLACED.,Small,No Cloud,Y,5,10.9252188
BA,56,2,Indiana,Climb,5 FAN BLADES DAMAGED AND --- IN CORE OF ENG. INGESTION.,Small,No Cloud,N,50,10.19342957
B-737,45,2,Louisiana,Climb,WAS NOT AWARE THAT EVENT WAS A BIRD STRIKE UNTIL POST FLT INSPN COMPLETED. RESIDUE WAS NOT COLLECTIBLE.,Medium,No Cloud,N,50,9.447544607
C,52,2,Alaska,Approach,"SAW 3 GEESE. BIRD STRUCK WINDSHLD IN CORDOVA AK, SIGNIF DAMAGE. PART OF THE BIRD CAME INTO THE COCKPIT AND THE REST WAS HANGING OUTSIDE. NO ONE WAS HURT. FLEW IN MECHANICS TO REPAIR.",Large,Overcast,N,50,8.972717499
BE,57,2,Indiana,Landing Roll,DMG TO L WINGTIP. NO INJURIES. ARPT HAS HIGH VOLUME OF DEER AND COYOTES & POPULATION IS INCREASING.,Large,Overcast,N,0,10.68957848
CL,35,2,Utah,Approach,"ID BY SMITHSONIAN. HIT SEVERAL BIRDS ON FINAL 1.5 MILES OUT. LANDED W/O INCIDENT. PILOT REPTD SEEING 3 OR MORE BIRDS AND STRIKING ONE. DENT IN NOSE, FEATHERS ON WIPER AND ON PITOT TUBE. MECHANIC STATED ENG INGESTION OF BIRD REMAINS AND ANY DAMAGE TO BE DE",Medium,Some Cloud,Y,1000,10.17523077
Hawker,34,2,Ohio,Climb,"BIRD OR BIRDS WERE NOT SEEN BY CREW. RADOME WAS POINT OF INITIAL IMPACT. PAINT WAS COMPLETELY DISLODGED FROM IMPACT AREA IN AJAGGED EDGED SHAPE AOBU 14"" IN DIAMETER. THE INBD TKS PANEL ON THE LF WNG LE WAS SLIGHTLY DENTED. DUE TO DMG TO INTRICATE PLUMBING",Medium,Some Cloud,N,10800,9.784028112
RKWL,32,2,New Jersey,Climb,,Small,Some Cloud,N,20,5.323009979
B-737,41,2,Alaska,Descent,ID BY SMITHSONIAN. FEATHERS WERE REMOVED FROM TOP OF NOSE OF PLANE. DISCREPANCY RE ALT 1400' ON ORIGINAL REPT AND 3000' ON AIRPORT REPT.,Small,Some Cloud,Y,3000,7.197435354
C,49,2,Michigan,Climb,2 GEESE FOUND ON RWY.  1 STILL ALIVE BUT INJURED. DMG TO LE OF RT WING ON A/C.,Large,Overcast,N,200,10.34942259
C,39,1,Florida,Approach,"ACCORDING TO CAPT, JUST AFTER T/O ON DOWNWIND OF RWY 9L AT 1100'  HE SAW 3 LRG BLACK BIRDS ABOUT 150' ABOVE HIM. A FEW SECONDS LATER HE SAW ONE DIVE AND WAS UNABLE TO AVOID THE STRIKE. THE BIRD WAS LODGED IN THE WING. AS HE TURNED AROUND TO RETURN TO KTMB",Large,Some Cloud,N,1100,9.104979856
Mooney,60,1,Colorado,Approach,"BIRD HIT RT SIDE OF WINDSCREEN ABOUT 8"" RT OF CENTER AND ABOUT 3"" ABOVE TOP OF COWLING AND OPENED A 1' DIAMETER HOLE ON RHS OF WINDSCREEN. EXCEPT FOR BLOOD AND A FEW FEATHERS, MOST OF BIRD REMAINED OUTSIDE AND WERE NOT RECOVERED. A/C CONTROLLABILITY WAS O",Medium,No Cloud,N,1800,7.786967003
Bell,40,1,Arkansas,,GRAY BIRD. DEFORMED SHEET METAL ON PILOT'S CHIN BUBBLE.,,No Cloud,,,5.455321115
G,52,2,Prince Edward Island,Climb,DMG TO FLAP,Large,Some Cloud,Y,200,10.49346626
B-737,45,2,California,Approach,SML FLOCK OF GRAY BIRDS (POSSIBLY ROCK DOVES) WERE STRUCK ABOVE THE F/O'S WINDOW ON STABILIZED APCH. TWR WAS NOTIFIED FOLLOWING THE INCIDENT AND ARFLD OPS CONTACTED MX. NO DMG.,Medium,No Cloud,N,200,5.80814249
Bellanca,40,1,Illinois,Approach,PAINT CRACKED/PEELED OFF OUTBOARD EDGE OF RT MAIN GEAR DOOR. NO APPARENT FIBERGLASS DMG.,Large,Some Cloud,N,6,6.214608098
B-737,52,2,Missouri,Take-off run,NOTIFIED DEPTARTURE. DO NOT KNOW IF REMAINS WERE COLLECTED. EST $100 FOR INSPN.,Small,No Cloud,N,0,4.736198448
B-737,72,2,Alaska,Approach,"ABORTED LANDING AT KUPARUK. ENGINE SHUTDOWN AND SECURED. DIVERTED FLT TO DEADHORSE, AK W/O FURTHER INCIDENT",Large,No Cloud,N,500,13.20144254
C,36,1,North Carolina,Approach,"GOOSE HIT RT SIDE DAMAGING RT WING STRUT FUSELAGE TO STRUT FAIRING. AFTER LDG, 15 GEESE WERE SEEN IN GRASS BY RWY. STRIKE WAS REPTD TO GSO ATC & MX. A/C RETURNED TO SVC LATER IN DAY.",Large,Some Cloud,N,200,7.898782357
EMB,60,2,California,Climb,COST REPT FOR CONTRACT MX INSPN.,Small,No Cloud,N,100,6.214608098
Lockheed,111,4,Florida,Descent,"ENG INLETS DAMAGED. NO NOTICEABLE EFFECT ON PERFORMANCE IN FLIGHT. DMG BEING ASSESSED AT GARRETT AGS, EST 30 DAYS FOR REPAIRS.",Medium,Some Cloud,N,1600,14.12789573
CL,29,2,Vermont,Take-off run,"AT START OF TAKE OFF ROLL, THEY PASSED THRU A FLOCK OF SNOW BUNTINGS. ABORTED T/O AND TAXIED BACK TO THE GATE. NO VISIBLE SIGNS OF A STRIKE. ONE CARCASS WA FOUJND ON RWY. LOCAL MX WAS CALLED TO CHECK OUT ENGINES. NOTHING FOUND. 101 MINUTE DELAY.  NO PAX R",Small,Some Cloud,Y,0,6.960347729
EMB,59,2,Arkansas,Landing Roll,STRUCK COYOTE AT 3000' REMAINING MARKER. PILOT SAID ANIMAL WAS MOVING AWAY FROM THE A/C PATH WHEN IT REVERSED DIRECTION AND RAN IN FRONT OF NOSE GEAR. SEVERED ANIMAL MID-SECTION. A/C HAD BROKEN TAXI LIGHT. TAXIED TO PARKING AND DEPLANED W/O INCIDENT. NO C,Large,Some Cloud,N,0,5.170483995
PA,64,1,Utah,Descent,"STRUCK TOP OF FUSELAGE. DMG TO SKIN, SUPPORTING BULKHEAD, ELT ANTENNA. PHOTO. LOCATION REPTD AS 8NM NNE OF ARPT.",Large,No Cloud,N,4500,8.774622221
MU,52,2,New Mexico,Approach,BEACON LENS AND GUARD DESTROYED. SMALL HOLE IN ANTENNA SEALANT. THRESHOLD RWY 25.,Large,No Cloud,N,100,6.907755279
